Index,No,movie,week_at_Top10,hours_seen,duration,views
2,3,Last Seen Alive,2,18810000,00:00:00,0
3,4,Blonde,2,17410000,00:00:00,0
4,5,Lou,3,12600000,00:00:00,0
5,6,The Boss Baby,1,8510000,00:00:00,0
6,7,Sing,1,8420000,00:00:00,0
7,8,Marauders,2,8350000,00:00:00,0
8,9,The Redeem Team,1,7850000,00:00:00,0
9,10,Minions & More Volume 1,3,7090000,00:00:00,0
0,1,Lou,2,46190000,00:00:00,0
1,2,Blonde,1,37340000,00:00:00,0
2,3,Do Revenge,3,15920000,00:00:00,0
3,4,A Jazzman's Blues,2,15670000,00:00:00,0
4,5,Minions & More Volume 1,2,10530000,00:00:00,0
5,6,Last Seen Alive,1,8110000,00:00:00,0
6,7,Marauders,1,6700000,00:00:00,0
7,8,Inheritance,1,6420000,00:00:00,0
8,9,Father Stu,2,5450000,00:00:00,0
9,10,Elysium,1,5170000,00:00:00,0
0,1,Do Revenge,2,42550000,00:00:00,0
1,2,Lou,1,40570000,00:00:00,0
2,3,Father Stu,1,13770000,00:00:00,0
3,4,I Used to Be Famous,1,11630000,00:00:00,0
4,5,A Jazzman's Blues,1,7820000,00:00:00,0
5,6,Me Time,5,6230000,00:00:00,0
6,7,Minions & More Volume 1,1,5660000,00:00:00,0
7,8,End of the Road,3,5540000,00:00:00,0
8,9,This Is the End,2,5320000,00:00:00,0
9,10,Dolittle,2,5130000,00:00:00,0
0,1,End of the Road,2,27190000,00:00:00,0
1,2,Do Revenge,1,26670000,00:00:00,0
2,3,Love in the Villa,3,8870000,00:00:00,0
3,4,Me Time,4,7910000,00:00:00,0
4,5,Morbius,2,7530000,00:00:00,0
5,6,I Came By,3,7360000,00:00:00,0
6,7,Despicable Me 2,9,7160000,00:00:00,0
7,8,The Invisible Man,1,6530000,00:00:00,0
8,9,Dolittle,1,5580000,00:00:00,0
9,10,This Is the End,1,5250000,00:00:00,0
0,1,End of the Road,1,30210000,00:00:00,0
1,2,Love in the Villa,2,29530000,00:00:00,0
2,3,I Came By,2,26800000,00:00:00,0
3,4,Me Time,3,20660000,00:00:00,0
4,5,Morbius,1,12200000,00:00:00,0
5,6,White Chicks,1,9210000,00:00:00,0
6,7,Despicable Me 2,8,7590000,00:00:00,0
7,8,Hanna,1,7120000,00:00:00,0
8,9,Triple 9,1,6530000,00:00:00,0
9,10,Labor Day,1,6510000,00:00:00,0
0,1,Me Time,2,56560000,00:00:00,0
1,2,Love in the Villa,1,41220000,00:00:00,0
2,3,I Came By,1,30790000,00:00:00,0
3,4,That's Amor,2,17420000,00:00:00,0
4,5,Look Both Ways,3,11780000,00:00:00,0
5,6,Day Shift,4,9450000,00:00:00,0
6,7,The Next 365 Days,3,9070000,00:00:00,0
7,8,Purple Hearts,6,7520000,00:00:00,0
8,9,The Gray Man,6,6260000,00:00:00,0
9,10,Collateral,1,6100000,00:00:00,0
0,1,Me Time,1,59230000,00:00:00,0
1,2,Look Both Ways,2,29890000,00:00:00,0
2,3,The Next 365 Days,2,27010000,00:00:00,0
3,4,Day Shift,3,20460000,00:00:00,0
4,5,Purple Hearts,5,12360000,00:00:00,0
5,6,The Mummy,1,11540000,00:00:00,0
6,7,Running with the Devil: The Wild World of John McAfee,1,10630000,00:00:00,0
7,8,Untold: The Girlfriend Who Didn't Exist,2,10480000,00:00:00,0
8,9,That's Amor,1,10470000,00:00:00,0
9,10,The Great Wall,1,10090000,00:00:00,0
0,1,Day Shift,2,63390000,00:00:00,0
1,2,Look Both Ways,1,48060000,00:00:00,0
2,3,The Next 365 Days,1,39310000,00:00:00,0
3,4,Purple Hearts,4,23410000,00:00:00,0
4,5,Untold: The Girlfriend Who Didn't Exist,1,20050000,00:00:00,0
5,6,The Gray Man,5,14640000,00:00:00,0
6,7,The Angry Birds Movie 2,1,11470000,00:00:00,0
7,8,Uncharted,3,8660000,00:00:00,0
8,9,The Sea Beast,7,8120000,00:00:00,0
9,10,Inside the Mind of a Cat,1,6990000,00:00:00,0
0,1,Day Shift,1,56510000,00:00:00,0
1,2,Purple Hearts,3,46370000,00:00:00,0
2,3,Uncharted,2,23710000,00:00:00,0
3,4,The Gray Man,4,21160000,00:00:00,0
4,5,Wedding Season,2,19010000,00:00:00,0
5,6,The Sea Beast,6,10850000,00:00:00,0
6,7,1917,1,10840000,00:00:00,0
7,8,Flight,1,10710000,00:00:00,0
8,9,The Informer,1,8330000,00:00:00,0
9,10,Sing 2,8,7270000,00:00:00,0
0,1,Purple Hearts,2,102590000,00:00:00,0
1,2,The Gray Man,3,38900000,00:00:00,0
2,3,Uncharted,1,20650000,00:00:00,0
3,4,Wedding Season,1,18600000,00:00:00,0
4,5,The Sea Beast,5,14340000,00:00:00,0
5,6,Spider-Man: Far from Home,2,11320000,00:00:00,0
6,7,The Age of Adaline,1,9340000,00:00:00,0
7,8,Tower Heist,1,8700000,00:00:00,0
8,9,Men in Black 3,1,8680000,00:00:00,0
9,10,Sing 2,7,7950000,00:00:00,0
0,1,The Gray Man,2,96470000,00:00:00,0
1,2,Purple Hearts,1,48230000,00:00:00,0
2,3,The Sea Beast,4,21070000,00:00:00,0
3,4,Persuasion,3,11070000,00:00:00,0
4,5,Sing 2,6,9370000,00:00:00,0
5,6,Spider-Man: Far from Home,1,8300000,00:00:00,0
6,7,The Man from Toronto,6,7620000,00:00:00,0
7,8,Shania Twain: Not Just a Girl,1,4640000,00:00:00,0
8,9,Line of Duty,1,4140000,00:00:00,0
9,10,Red Notice,14,4090000,00:00:00,0
0,1,The Gray Man,1,88550000,00:00:00,0
1,2,The Sea Beast,3,34140000,00:00:00,0
2,3,Persuasion,2,29040000,00:00:00,0
3,4,Clean,1,11290000,00:00:00,0
4,5,Daughter of the Wolf,1,11080000,00:00:00,0
5,6,Sing 2,5,10150000,00:00:00,0
6,7,The Man from Toronto,5,8790000,00:00:00,0
7,8,Girl in the Picture,3,7360000,00:00:00,0
8,9,CHIPS,2,5080000,00:00:00,0
9,10,12 Strong,2,4610000,00:00:00,0
0,1,The Sea Beast,2,68110000,00:00:00,0
1,2,Persuasion,1,28720000,00:00:00,0
2,3,Girl in the Picture,2,23590000,00:00:00,0
3,4,The Man from Toronto,4,13500000,00:00:00,0
4,5,Sing 2,4,12220000,00:00:00,0
5,6,12 Strong,1,11810000,00:00:00,0
6,7,Spider-Man: No Way Home,1,8080000,00:00:00,0
7,8,CHIPS,1,7480000,00:00:00,0
8,9,Hustle,6,6450000,00:00:00,0
9,10,"Hello, Goodbye, and Everything in Between",2,6170000,00:00:00,0
0,1,The Sea Beast,1,33520000,00:00:00,0
1,2,Girl in the Picture,1,28380000,00:00:00,0
2,3,The Man from Toronto,3,24380000,00:00:00,0
3,4,Sing 2,3,16580000,00:00:00,0
4,5,American Assassin,1,13360000,00:00:00,0
5,6,Grand Isle,1,11460000,00:00:00,0
6,7,"Hello, Goodbye, and Everything in Between",1,10260000,00:00:00,0
7,8,Hustle,5,9400000,00:00:00,0
8,9,Mean Girls,1,8110000,00:00:00,0
9,10,The Dark Knight Rises,1,7750000,00:00:00,0
0,1,The Man from Toronto,2,62640000,00:00:00,0
1,2,Sing 2,2,24080000,00:00:00,0
2,3,Love & Gelato,2,18900000,00:00:00,0
3,4,Hustle,4,14640000,00:00:00,0
4,5,Glamour Girls,1,12390000,00:00:00,0
5,6,Homefront,1,11000000,00:00:00,0
6,7,Spiderhead,3,9520000,00:00:00,0
7,8,The Mist,2,6230000,00:00:00,0
8,9,Chickenhare and the Hamster of Darkness,4,5980000,00:00:00,0
9,10,Backtrace,1,4530000,00:00:00,0
0,1,The Man from Toronto,1,53890000,00:00:00,0
1,2,Spiderhead,2,38300000,00:00:00,0
2,3,Hustle,3,26050000,00:00:00,0
3,4,Love & Gelato,1,25790000,00:00:00,0
4,5,Sing 2,1,24270000,00:00:00,0
5,6,Chickenhare and the Hamster of Darkness,3,10960000,00:00:00,0
6,7,Collision,2,8450000,00:00:00,0
7,8,The Mist,1,8400000,00:00:00,0
8,9,Halftime,2,8370000,00:00:00,0
9,10,It,1,8350000,00:00:00,0
0,1,Hustle,2,57190000,00:00:00,0
1,2,Spiderhead,1,35400000,00:00:00,0
2,3,Chickenhare and the Hamster of Darkness,2,23750000,00:00:00,0
3,4,Halftime,1,18880000,00:00:00,0
4,5,Interceptor,3,13110000,00:00:00,0
5,6,Collision,1,12960000,00:00:00,0
6,7,Trees of Peace,1,9380000,00:00:00,0
7,8,Sonic the Hedgehog,8,4570000,00:00:00,0
8,9,A Perfect Pairing,5,4440000,00:00:00,0
9,10,Senior Year,6,4200000,00:00:00,0
0,1,Hustle,1,84580000,00:00:00,0
1,2,Interceptor,2,40700000,00:00:00,0
2,3,Chickenhare and the Hamster of Darkness,1,9820000,00:00:00,0
3,4,The Amazing Spider-Man,2,8440000,00:00:00,0
4,5,Senior Year,5,7220000,00:00:00,0
5,6,A Perfect Pairing,4,7130000,00:00:00,0
6,7,Mission: Impossible - Ghost Protocol,1,6550000,00:00:00,0
7,8,Rambo: Last Blood,1,6530000,00:00:00,0
8,9,Deep Impact,1,6260000,00:00:00,0
9,10,Sonic the Hedgehog,7,5510000,00:00:00,0
0,1,Interceptor,1,35600000,00:00:00,0
1,2,A Perfect Pairing,3,14410000,00:00:00,0
2,3,The Amazing Spider-Man,1,13500000,00:00:00,0
3,4,Senior Year,4,13260000,00:00:00,0
4,5,Memoirs of a Geisha,1,10200000,00:00:00,0
5,6,The Outpost,1,10120000,00:00:00,0
6,7,Disappearance at Clifton Hill,1,8670000,00:00:00,0
7,8,Sonic the Hedgehog,6,6500000,00:00:00,0
8,9,Jack Reacher,1,5370000,00:00:00,0
9,10,Jackass 4.5,3,4820000,00:00:00,0
0,1,A Perfect Pairing,2,32630000,00:00:00,0
1,2,Senior Year,3,24560000,00:00:00,0
2,3,Jackass 4.5,2,18540000,00:00:00,0
3,4,Dangerous,2,11740000,00:00:00,0
4,5,Sonic the Hedgehog,5,8910000,00:00:00,0
5,6,Top Gun,1,6440000,00:00:00,0
6,7,Cleveland Abduction,1,6360000,00:00:00,0
7,8,Turbo,1,5310000,00:00:00,0
8,9,Our Father,3,5150000,00:00:00,0
9,10,Ben Is Back,1,4610000,00:00:00,0
0,1,Senior Year,2,62420000,00:00:00,0
1,2,A Perfect Pairing,1,33000000,00:00:00,0
2,3,Dangerous,1,18060000,00:00:00,0
3,4,Sonic the Hedgehog,4,15990000,00:00:00,0
4,5,Our Father,2,13580000,00:00:00,0
5,6,Jackass 4.5,1,12080000,00:00:00,0
6,7,Marmaduke,3,7480000,00:00:00,0
7,8,Operation Mincemeat,2,6720000,00:00:00,0
8,9,365 Days: This Day,4,6110000,00:00:00,0
9,10,Borrego,1,6080000,00:00:00,0
0,1,Senior Year,1,55940000,00:00:00,0
1,2,Our Father,1,23870000,00:00:00,0
2,3,Marmaduke,2,15030000,00:00:00,0
3,4,Along for the Ride,2,13310000,00:00:00,0
4,5,Operation Mincemeat,1,12620000,00:00:00,0
5,6,Sonic the Hedgehog,3,12290000,00:00:00,0
6,7,365 Days: This Day,3,10580000,00:00:00,0
7,8,U.S. Marshals,2,5520000,00:00:00,0
8,9,Den of Thieves,1,5420000,00:00:00,0
9,10,Men in Black: International,2,4650000,00:00:00,0
0,1,365 Days: This Day,2,27530000,00:00:00,0
1,2,Sonic the Hedgehog,2,17150000,00:00:00,0
2,3,Silverton Siege,2,11150000,00:00:00,0
3,4,Along for the Ride,1,10840000,00:00:00,0
4,5,The Gentlemen,1,8610000,00:00:00,0
5,6,U.S. Marshals,1,8080000,00:00:00,0
6,7,The Mystery of Marilyn Monroe: The Unheard Tapes,2,7590000,00:00:00,0
7,8,Men in Black: International,1,7370000,00:00:00,0
8,9,Marmaduke,1,7010000,00:00:00,0
9,10,365 Days,2,6290000,00:00:00,0
0,1,365 Days: This Day,1,77980000,00:00:00,0
1,2,Silverton Siege,1,20280000,00:00:00,0
2,3,The Mystery of Marilyn Monroe: The Unheard Tapes,1,15360000,00:00:00,0
3,4,365 Days,1,10040000,00:00:00,0
4,5,The Vault,3,6660000,00:00:00,0
5,6,How It Ends,4,6640000,00:00:00,0
6,7,The In Between,4,6050000,00:00:00,0
7,8,The Adam Project,8,5660000,00:00:00,0
8,9,Sonic the Hedgehog,1,4920000,00:00:00,0
9,10,Shrek,7,4540000,00:00:00,0
0,1,Choose or Die,2,15260000,00:00:00,0
1,2,The In Between,3,13350000,00:00:00,0
2,3,White Hot: The Rise & Fall of Abercrombie & Fitch,1,9920000,00:00:00,0
3,4,How It Ends,3,8280000,00:00:00,0
4,5,Yakuza Princess,1,7490000,00:00:00,0
5,6,The Adam Project,7,7480000,00:00:00,0
6,7,Playing with Fire,1,6750000,00:00:00,0
7,8,The Vault,2,6620000,00:00:00,0
8,9,Shrek,6,5310000,00:00:00,0
9,10,Cleaner,2,4920000,00:00:00,0
0,1,The In Between,2,35900000,00:00:00,0
1,2,Choose or Die,1,16000000,00:00:00,0
2,3,A Score to Settle,1,9750000,00:00:00,0
3,4,The Adam Project,6,9270000,00:00:00,0
4,5,Metal Lords,1,8740000,00:00:00,0
5,6,How It Ends,2,8600000,00:00:00,0
6,7,The Call,1,7710000,00:00:00,0
7,8,Return to Space,2,7150000,00:00:00,0
8,9,Cleaner,1,6770000,00:00:00,0
9,10,A Dog's Way Home,1,5750000,00:00:00,0
0,1,The In Between,1,26770000,00:00:00,0
1,2,The Adam Project,5,10900000,00:00:00,0
2,3,The Bubble,2,9950000,00:00:00,0
3,4,Shrek Forever After,2,9770000,00:00:00,0
4,5,The Blind Side,2,8710000,00:00:00,0
5,6,Four Brothers,1,8170000,00:00:00,0
6,7,Enough,1,5790000,00:00:00,0
7,8,How It Ends,1,5650000,00:00:00,0
8,9,Shrek,5,5340000,00:00:00,0
9,10,Return to Space,1,4550000,00:00:00,0
0,1,The Adam Project,4,17720000,00:00:00,0
1,2,The Bubble,1,12450000,00:00:00,0
2,3,Trust No One: The Hunt for the Crypto King,1,12070000,00:00:00,0
3,4,The Blind Side,1,9880000,00:00:00,0
4,5,6 Underground,3,8730000,00:00:00,0
5,6,Blade Runner 2049,1,7850000,00:00:00,0
6,7,Shrek Forever After,1,7690000,00:00:00,0
7,8,Gemini Man,3,7000000,00:00:00,0
8,9,Rescued by Ruby,3,6380000,00:00:00,0
9,10,Escape Room,1,6140000,00:00:00,0
0,1,The Adam Project,3,31700000,00:00:00,0
1,2,Rescued by Ruby,2,17030000,00:00:00,0
2,3,Gemini Man,2,16450000,00:00:00,0
3,4,Windfall,2,15490000,00:00:00,0
4,5,John Wick: Chapter 2,1,7800000,00:00:00,0
5,6,The Dead Don't Die,1,7570000,00:00:00,0
6,7,6 Underground,2,7440000,00:00:00,0
7,8,A Walk Among the Tombstones,2,6740000,00:00:00,0
8,9,Shrek,4,6350000,00:00:00,0
9,10,Despicable Me 2,7,5750000,00:00:00,0
0,1,The Adam Project,2,85360000,00:00:00,0
1,2,Rescued by Ruby,1,19940000,00:00:00,0
2,3,Gemini Man,1,11840000,00:00:00,0
3,4,The Ice Road,2,11650000,00:00:00,0
4,5,The Weekend Away,3,9240000,00:00:00,0
5,6,A Walk Among the Tombstones,1,9030000,00:00:00,0
6,7,Windfall,1,8360000,00:00:00,0
7,8,Shrek,3,7870000,00:00:00,0
8,9,Shrek 2,3,6750000,00:00:00,0
9,10,A Madea Homecoming,4,5790000,00:00:00,0
0,1,The Adam Project,1,92430000,00:00:00,0
1,2,The Weekend Away,2,26260000,00:00:00,0
2,3,Against The Ice,2,12730000,00:00:00,0
3,4,Shrek,2,10380000,00:00:00,0
4,5,Shrek 2,2,9900000,00:00:00,0
5,6,A Madea Homecoming,3,9030000,00:00:00,0
6,7,Shooter,1,7390000,00:00:00,0
7,8,Spider-Man: Into the Spider-Verse,2,5910000,00:00:00,0
8,9,Despicable Me 2,6,5720000,00:00:00,0
9,10,Coach Carter,1,5450000,00:00:00,0
0,1,The Weekend Away,1,44450000,00:00:00,0
1,2,Against The Ice,1,30730000,00:00:00,0
2,3,A Madea Homecoming,2,26410000,00:00:00,0
3,4,Spider-Man: Into the Spider-Verse,1,13940000,00:00:00,0
4,5,Shrek 2,1,13040000,00:00:00,0
5,6,The Tinder Swindler,5,9510000,00:00:00,0
6,7,Shrek,1,7780000,00:00:00,0
7,8,Just Like Heaven,1,7160000,00:00:00,0
8,9,Despicable Me 2,5,6890000,00:00:00,0
9,10,Battleship,1,6710000,00:00:00,0
0,1,A Madea Homecoming,1,31560000,00:00:00,0
1,2,The Tinder Swindler,4,17670000,00:00:00,0
2,3,Texas Chainsaw Massacre,2,17440000,00:00:00,0
3,4,Downfall: The Case Against Boeing,2,9910000,00:00:00,0
4,5,Despicable Me 2,4,9750000,00:00:00,0
5,6,Fistful of Vengeance,2,7560000,00:00:00,0
6,7,Tall Girl 2,3,7470000,00:00:00,0
7,8,Abominable,2,7330000,00:00:00,0
8,9,Despicable Me,4,5590000,00:00:00,0
9,10,Red Notice,13,4970000,00:00:00,0
0,1,The Tinder Swindler,3,34450000,00:00:00,0
1,2,Texas Chainsaw Massacre,1,29180000,00:00:00,0
2,3,Tall Girl 2,2,21740000,00:00:00,0
3,4,Fistful of Vengeance,1,18300000,00:00:00,0
4,5,Despicable Me 2,3,11510000,00:00:00,0
5,6,Abominable,1,8960000,00:00:00,0
6,7,St. Vincent,1,7640000,00:00:00,0
7,8,Downfall: The Case Against Boeing,1,7420000,00:00:00,0
8,9,Despicable Me,3,7170000,00:00:00,0
9,10,The Vanishing,1,7030000,00:00:00,0
0,1,The Tinder Swindler,2,64700000,00:00:00,0
1,2,Tall Girl 2,1,27440000,00:00:00,0
2,3,13 Hours: The Secret Soldiers of Benghazi,2,13270000,00:00:00,0
3,4,Despicable Me 2,2,13080000,00:00:00,0
4,5,Home Team,3,10550000,00:00:00,0
5,6,Despicable Me,2,8950000,00:00:00,0
6,7,Dora and the Lost City of Gold,1,8750000,00:00:00,0
7,8,Faster,2,6850000,00:00:00,0
8,9,The Power of the Dog,3,5460000,00:00:00,0
9,10,Don't Look Up,8,5360000,00:00:00,0
0,1,The Tinder Swindler,1,45800000,00:00:00,0
1,2,Home Team,2,33630000,00:00:00,0
2,3,Despicable Me 2,1,14340000,00:00:00,0
3,4,13 Hours: The Secret Soldiers of Benghazi,1,12980000,00:00:00,0
4,5,Transformers: Revenge of the Fallen,1,9790000,00:00:00,0
5,6,The Royal Treatment,3,8510000,00:00:00,0
6,7,Don't Look Up,7,6930000,00:00:00,0
7,8,Despicable Me,1,6850000,00:00:00,0
8,9,Can You Keep a Secret?,1,6410000,00:00:00,0
9,10,Faster,1,6370000,00:00:00,0
0,1,The Royal Treatment,2,26580000,00:00:00,0
1,2,Home Team,1,21050000,00:00:00,0
2,3,Munich – The Edge of War,2,17320000,00:00:00,0
3,4,Don't Look Up,6,10250000,00:00:00,0
4,5,The Secret Life of Pets 2,3,7850000,00:00:00,0
5,6,Red Notice,12,6540000,00:00:00,0
6,7,Hotel Transylvania 3: Summer Vacation,5,6280000,00:00:00,0
7,8,Brazen,3,5840000,00:00:00,0
8,9,The Possession of Hannah Grace,1,5760000,00:00:00,0
9,10,A Perfect Enemy,1,4870000,00:00:00,0
0,1,The Royal Treatment,1,42490000,00:00:00,0
1,2,Brazen,2,28570000,00:00:00,0
2,3,Don't Look Up,5,17130000,00:00:00,0
3,4,The Secret Life of Pets 2,2,16800000,00:00:00,0
4,5,Riverdance: The Animated Adventure,2,11840000,00:00:00,0
5,6,Munich – The Edge of War,1,11110000,00:00:00,0
6,7,After We Fell,1,8980000,00:00:00,0
7,8,Red Notice,11,7310000,00:00:00,0
8,9,Back to the Outback,7,6320000,00:00:00,0
9,10,Mother/Android,3,5330000,00:00:00,0
0,1,Brazen,1,45340000,00:00:00,0
1,2,Don't Look Up,4,28390000,00:00:00,0
2,3,Mother/Android,2,23170000,00:00:00,0
3,4,The Secret Life of Pets 2,1,9390000,00:00:00,0
4,5,Just Go With It,3,8790000,00:00:00,0
5,6,Red Notice,10,8710000,00:00:00,0
6,7,Back to the Outback,6,8710000,00:00:00,0
7,8,Tides,1,8470000,00:00:00,0
8,9,Riverdance: The Animated Adventure,1,7860000,00:00:00,0
9,10,The Clovehitch Killer,1,7000000,00:00:00,0
0,1,Don't Look Up,3,58200000,00:00:00,0
1,2,Mother/Android,1,29730000,00:00:00,0
2,3,The Lost Daughter,2,20370000,00:00:00,0
3,4,Back to the Outback,5,12430000,00:00:00,0
4,5,The Unforgivable,5,11340000,00:00:00,0
5,6,Red Notice,9,11090000,00:00:00,0
6,7,Just Go With It,2,10530000,00:00:00,0
7,8,Journey 2: The Mysterious Island,2,10520000,00:00:00,0
8,9,Seal Team,1,10310000,00:00:00,0
9,10,The Longest Yard,1,9960000,00:00:00,0
0,1,Don't Look Up,2,152290000,00:00:00,0
1,2,The Unforgivable,4,21310000,00:00:00,0
2,3,The Lost Daughter,1,18260000,00:00:00,0
3,4,Back to the Outback,4,17720000,00:00:00,0
4,5,Red Notice,8,14540000,00:00:00,0
5,6,Spider-Man: Homecoming,3,14180000,00:00:00,0
6,7,Fast & Furious Presents: Hobbs & Shaw,2,12870000,00:00:00,0
7,8,Death to 2021,1,10380000,00:00:00,0
8,9,Journey 2: The Mysterious Island,1,5440000,00:00:00,0
9,10,Spider-Man,1,5430000,00:00:00,0
0,1,Don't Look Up,1,111030000,00:00:00,0
1,2,The Unforgivable,3,26600000,00:00:00,0
2,3,Fast & Furious Presents: Hobbs & Shaw,1,26590000,00:00:00,0
3,4,Back to the Outback,3,24750000,00:00:00,0
4,5,Spider-Man: Homecoming,2,20000000,00:00:00,0
5,6,The Christmas Chronicles,4,12910000,00:00:00,0
6,7,Red Notice,7,12140000,00:00:00,0
7,8,A California Christmas: City Lights,2,11630000,00:00:00,0
8,9,The Christmas Chronicles: Part Two,3,10990000,00:00:00,0
9,10,A Boy Called Christmas,5,9120000,00:00:00,0
0,1,The Unforgivable,2,74440000,00:00:00,0
1,2,Back to the Outback,2,38990000,00:00:00,0
2,3,A California Christmas: City Lights,1,22860000,00:00:00,0
3,4,Red Notice,6,12710000,00:00:00,0
4,5,The Shack,1,11730000,00:00:00,0
5,6,Spider-Man: Homecoming,1,9370000,00:00:00,0
6,7,John Wick: Chapter 3 - Parabellum,1,8790000,00:00:00,0
7,8,The Christmas Chronicles,3,8430000,00:00:00,0
8,9,The Christmas Chronicles: Part Two,2,7840000,00:00:00,0
9,10,A Boy Called Christmas,4,7270000,00:00:00,0
0,1,The Unforgivable,1,85860000,00:00:00,0
1,2,Red Notice,5,18010000,00:00:00,0
2,3,Back to the Outback,1,16170000,00:00:00,0
3,4,The Power of the Dog,2,13280000,00:00:00,0
4,5,Single All The Way,2,11140000,00:00:00,0
5,6,A Boy Called Christmas,3,10750000,00:00:00,0
6,7,A Castle For Christmas,3,10050000,00:00:00,0
7,8,Redemption Day,1,9790000,00:00:00,0
8,9,Bruised,3,8970000,00:00:00,0
9,10,The Christmas Chronicles,2,8510000,00:00:00,0
0,1,The Power of the Dog,1,27200000,00:00:00,0
1,2,A Castle For Christmas,2,25550000,00:00:00,0
2,3,Red Notice,4,25400000,00:00:00,0
3,4,Bruised,2,23370000,00:00:00,0
4,5,A Boy Called Christmas,2,19360000,00:00:00,0
5,6,Single All The Way,1,13820000,00:00:00,0
6,7,14 Peaks: Nothing Is Impossible,1,12170000,00:00:00,0
7,8,The Christmas Chronicles,1,7940000,00:00:00,0
8,9,The Christmas Chronicles: Part Two,1,7790000,00:00:00,0
9,10,Love Hard,5,7240000,00:00:00,0
0,1,Red Notice,3,50650000,00:00:00,0
1,2,Bruised,1,47700000,00:00:00,0
2,3,A Boy Called Christmas,1,26820000,00:00:00,0
3,4,A Castle For Christmas,1,20870000,00:00:00,0
4,5,The Princess Switch 3: Romancing the Star,2,16250000,00:00:00,0
5,6,The Croods,2,15860000,00:00:00,0
6,7,Jack Reacher: Never Go Back,1,14670000,00:00:00,0
7,8,Extinct,1,13320000,00:00:00,0
8,9,Central Intelligence,2,10520000,00:00:00,0
9,10,Love Hard,4,9780000,00:00:00,0
0,1,Red Notice,2,129110000,00:00:00,0
1,2,The Princess Switch 3: Romancing the Star,1,24770000,00:00:00,0
2,3,Love Hard,3,21240000,00:00:00,0
3,4,Central Intelligence,1,14910000,00:00:00,0
4,5,The Harder They Fall,3,13770000,00:00:00,0
5,6,The Croods,1,13440000,00:00:00,0
6,7,Army of Thieves,4,12260000,00:00:00,0
7,8,Trolls,1,10120000,00:00:00,0
8,9,6 Underground,1,7770000,00:00:00,0
9,10,Goosebumps 2: Haunted Halloween,1,7680000,00:00:00,0
0,1,Red Notice,1,148720000,00:00:00,0
1,2,Love Hard,2,58560000,00:00:00,0
2,3,The Harder They Fall,2,33060000,00:00:00,0
3,4,Army of Thieves,3,20560000,00:00:00,0
4,5,Father Christmas Is Back,1,13780000,00:00:00,0
5,6,211,1,7900000,00:00:00,0
6,7,Army of the Dead,3,7620000,00:00:00,0
7,8,Passing,1,7490000,00:00:00,0
8,9,Transformers: The Last Knight,2,6920000,00:00:00,0
9,10,Jumanji: The Next Level,1,6760000,00:00:00,0
0,1,Army of Thieves,2,71610000,00:00:00,0
1,2,The Harder They Fall,1,64760000,00:00:00,0
2,3,Love Hard,1,40530000,00:00:00,0
3,4,Army of the Dead,2,16910000,00:00:00,0
4,5,Transformers: The Last Knight,1,13180000,00:00:00,0
5,6,21 Jump Street,1,11690000,00:00:00,0
6,7,Hypnotic,2,11140000,00:00:00,0
7,8,The Girl in the Spider's Web,1,6580000,00:00:00,0
8,9,Amina,1,6110000,00:00:00,0
9,10,Just Go With It,1,5740000,00:00:00,0
0,1,Army of Thieves,1,49640000,00:00:00,0
1,2,Hypnotic,1,24620000,00:00:00,0
2,3,Night Teeth,2,17010000,00:00:00,0
3,4,Final Score,1,9840000,00:00:00,0
4,5,King Arthur: Legend of the Sword,1,9150000,00:00:00,0
5,6,Only Mine,1,6670000,00:00:00,0
6,7,Army of the Dead,1,5780000,00:00:00,0
7,8,Bloodshot,1,5600000,00:00:00,0
8,9,A Dog's Journey,2,5350000,00:00:00,0
9,10,Venom,4,4190000,00:00:00,0
0,1,Night Teeth,1,31870000,00:00:00,0
1,2,Venom,3,7900000,00:00:00,0
2,3,What Happens in Vegas,1,7380000,00:00:00,0
3,4,A Dog's Journey,1,5780000,00:00:00,0
4,5,My Little Pony: A New Generation,5,5570000,00:00:00,0
5,6,Unfaithful,1,5350000,00:00:00,0
6,7,Going in Style,2,4520000,00:00:00,0
7,8,The Guilty,4,4400000,00:00:00,0
8,9,Street Kings,1,3440000,00:00:00,0
9,10,Hotel Transylvania 3: Summer Vacation,4,3430000,00:00:00,0
0,1,Venom,2,20410000,00:00:00,0
1,2,The Guilty,3,12590000,00:00:00,0
2,3,Security,2,9470000,00:00:00,0
3,4,My Little Pony: A New Generation,4,8220000,00:00:00,0
4,5,There's Someone Inside Your House,2,7380000,00:00:00,0
5,6,Pokémon the Movie: Secrets of the Jungle,2,7300000,00:00:00,0
6,7,Redemption,1,5800000,00:00:00,0
7,8,Titanic,2,5000000,00:00:00,0
8,9,Going in Style,1,4950000,00:00:00,0
9,10,Knight and Day,1,4770000,00:00:00,0
0,1,The Guilty,2,42280000,00:00:00,0
1,2,There's Someone Inside Your House,1,20480000,00:00:00,0
2,3,Venom,1,13920000,00:00:00,0
3,4,My Little Pony: A New Generation,3,13370000,00:00:00,0
4,5,Titanic,1,10270000,00:00:00,0
5,6,Ride Along 2,1,8030000,00:00:00,0
6,7,Heat,1,7650000,00:00:00,0
7,8,Pokémon the Movie: Secrets of the Jungle,1,7520000,00:00:00,0
8,9,Mr. & Mrs. Smith,1,7180000,00:00:00,0
9,10,Security,1,6830000,00:00:00,0
