Index,No,movie,week_at_Top10,hours_seen,duration,views
4,5,Unknown: The Lost Pyramid,1,7900000,01:24:00,5600000
5,6,Sniper: Assassin's End,2,8500000,01:35:00,5400000
6,7,Old Henry,1,8100000,01:39:00,4900000
7,8,WHAM!,1,6800000,01:32:00,4400000
8,9,Skyscraper,1,7500000,01:42:00,4400000
9,10,Woody Woodpecker,1,6300000,01:31:00,4200000
0,1,Extraction 2,3,36200000,02:04:00,17500000
1,2,The Perfect Find,2,18400000,01:40:00,11000000
2,3,Run Rabbit Run,1,14200000,01:41:00,8400000
3,4,Extraction,3,11800000,01:58:00,6000000
4,5,Take Care of Maya,2,7900000,01:44:00,4600000
5,6,Paw Patrol: The Movie,6,6400000,01:26:00,4500000
6,7,Sniper: Assassin's End,1,5400000,01:35:00,3400000
7,8,Ghosts of the Abyss,1,4900000,01:28:00,3300000
8,9,Nimona,1,5500000,01:43:00,3200000
9,10,Roald Dahl's Matilda The Musical,6,4900000,02:02:00,2400000
0,1,Extraction 2,2,87300000,02:04:00,42200000
1,2,Extraction,2,27200000,01:58:00,13800000
2,3,Take Care of Maya,1,16000000,01:44:00,9200000
3,4,The Perfect Find,1,11700000,01:40:00,7000000
4,5,Paw Patrol: The Movie,5,9100000,01:26:00,6300000
5,6,The Mule,1,9200000,01:42:00,5400000
6,7,What Happens in Vegas,2,7600000,01:39:00,4600000
7,8,The Boss Baby,9,4500000,01:38:00,2800000
8,9,Get Out,1,4100000,01:44:00,2400000
9,10,47 Ronin,1,4700000,02:01:00,2300000
0,1,Extraction 2,1,88400000,02:04:00,42800000
1,2,Extraction,1,18800000,01:58:00,9600000
2,3,Paw Patrol: The Movie,4,9400000,01:26:00,6600000
3,4,The Boss Baby,8,5800000,01:38:00,3600000
4,5,Assassin's Creed,1,5400000,01:55:00,2800000
5,6,The Mother,6,5400000,01:57:00,2800000
6,7,The Angry Birds Movie,2,4300000,01:38:00,2600000
7,8,Abduction,2,4000000,01:46:00,2300000
8,9,Shooter,4,4700000,02:05:00,2300000
9,10,Prisoners,3,5100000,02:33:00,2000000
0,1,Prisoners,2,13890000,00:00:00,0
1,2,Shooter,3,12770000,00:00:00,0
2,3,Abduction,1,9570000,00:00:00,0
3,4,The Mother,5,8360000,00:00:00,0
4,5,The Boss Baby,7,8320000,00:00:00,0
5,6,We're the Millers,2,7720000,00:00:00,0
6,7,The Angry Birds Movie,1,5720000,00:00:00,0
7,8,The Company Men,1,5390000,00:00:00,0
8,9,Grown Ups 2,1,5230000,00:00:00,0
9,10,The Choice,2,4950000,00:00:00,0
0,1,The Mother,4,16480000,00:00:00,0
1,2,The Boss Baby,6,10580000,00:00:00,0
2,3,Missing,3,8080000,00:00:00,0
3,4,2 Hearts,2,7720000,00:00:00,0
4,5,Shooter,2,7480000,00:00:00,0
5,6,We're the Millers,1,6730000,00:00:00,0
6,7,Dirty Grandpa,1,5570000,00:00:00,0
7,8,To Leslie,1,5370000,00:00:00,0
8,9,The Choice,1,4260000,00:00:00,0
