Index,No,movie,week_at_Top10
2,3,Harry Potter and the Chamber of Secrets,1
3,4,Harry Potter and the Prisoner of Azkaban,1
4,5,Harry Potter and the Goblet of Fire,1
5,6,Anna Nicole Smith: You Don't Know Me,1
6,7,Harry Potter and the Order of the Phoenix,1
7,8,Harry Potter and the Half-Blood Prince,1
8,9,The Forever Purge,1
9,10,Fantastic Beasts: The Crimes of Grindelwald,1
0,1,The Mother,1
1,2,Jumanji: The Next Level,5
2,3,Ad Astra,1
3,4,Escape Room: Tournament Of Champions,2
4,5,The Subtle Art of Not Giving a F*ck,1
5,6,AKA,3
6,7,Kung Fu Panda 3,2
7,8,Freaky,2
8,9,Mrs. Chatterjee vs Norway,1
9,10,Gully,1
0,1,AKA,2
