Index,No,movie,week_at_Top10
9,10,London Boulevard,1
0,1,The Man from Toronto,2
1,2,Spiral: From the Book of Saw,1
2,3,Widows,1
3,4,Burnt,2
4,5,Bohemian Rhapsody,3
5,6,Love & Gelato,2
6,7,Hustle,4
7,8,Midnight in the Switchgrass,3
8,9,Underworld,1
9,10,Spiderhead,3
0,1,The Man from Toronto,1
1,2,Spiderhead,2
2,3,Bohemian Rhapsody,2
3,4,Midnight in the Switchgrass,2
4,5,Hustle,3
5,6,Love & Gelato,1
6,7,Burnt,1
7,8,The Craft: Legacy,1
8,9,Legend,4
9,10,Halftime,2
0,1,Hustle,2
1,2,Spiderhead,1
2,3,Bohemian Rhapsody,1
3,4,Midnight in the Switchgrass,1
4,5,Halftime,1
5,6,Chickenhare and the Hamster of Darkness,1
6,7,The Deep End of the Ocean,2
7,8,Legend,3
8,9,Paddington 2,3
9,10,Motherless Brooklyn,1
0,1,Hustle,1
1,2,Interceptor,2
2,3,Legend,2
3,4,Paddington 2,2
4,5,Untraceable,1
5,6,My Spy,1
6,7,The Craigslist Killer,2
7,8,I Now Pronounce You Chuck and Larry,1
8,9,The Deep End of the Ocean,1
9,10,Carriers,2
0,1,Legend,1
1,2,Interceptor,1
2,3,The Craigslist Killer,1
3,4,Senior Year,4
4,5,Paddington 2,1
5,6,Madagascar: Escape 2 Africa,2
6,7,Man of Tai Chi,1
7,8,A Perfect Pairing,3
8,9,Carriers,1
9,10,The Ledge,1
0,1,Jackass 4.5,2
1,2,Senior Year,3
2,3,The Silencing,2
3,4,A Perfect Pairing,2
4,5,The Good Liar,2
5,6,Chaos Walking,2
6,7,The Departed,2
7,8,Madagascar: Escape 2 Africa,1
8,9,Our Father,3
9,10,RRR (Hindi),1
0,1,Senior Year,2
1,2,The Good Liar,1
2,3,Jackass 4.5,1
3,4,Our Father,2
4,5,The Departed,1
5,6,A Perfect Pairing,1
6,7,Chaos Walking,1
7,8,The Paedophile Hunter,1
8,9,The Silencing,1
9,10,City of Ember,1
0,1,Senior Year,1
